timeStep;demandHeat;demandElectricity;PV2;GasBoiler2;Battery2Discharge;Battery2Charge;ElecBuy;ElecSell;Battery2SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV2;plusGasBoiler2;plusBattery2Discharge;plusBattery2Charge;plusElecBuy;plusElecSell
431.00;-1.29;-0.30;0.54;1.32;0.00;0.00;0.00;0.25;0.00;0.01;0.25;1.29;1.29;0.30;0.54;1.29;0.00;0.00;0.00;-0.25
432.00;-2.06;-0.40;0.68;2.10;0.00;0.00;0.00;0.28;0.00;0.02;0.25;2.06;2.06;0.40;0.68;2.06;0.00;0.00;0.00;-0.28
433.00;-0.52;-0.57;0.56;0.53;0.00;0.00;0.00;0.00;0.00;0.01;0.25;0.52;0.52;0.57;0.56;0.52;0.00;0.00;0.00;-0.00
434.00;-2.32;-2.08;0.51;2.37;0.00;0.00;1.57;0.00;0.00;0.13;0.25;2.32;2.32;2.08;0.51;2.32;0.00;0.00;1.57;-0.00
435.00;0.00;-0.54;0.51;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.25;-0.00;0.00;0.54;0.51;0.00;0.00;0.00;0.03;-0.00
436.00;0.00;-1.38;0.73;0.00;0.00;0.00;0.65;0.00;0.00;0.04;0.25;-0.00;0.00;1.38;0.73;0.00;0.00;0.00;0.65;-0.00
437.00;-2.58;-0.50;0.73;2.63;0.00;0.00;0.00;0.23;0.00;0.03;0.25;2.58;2.58;0.50;0.73;2.58;0.00;0.00;0.00;-0.23
438.00;-1.29;-0.42;0.70;1.32;0.00;0.00;0.00;0.29;0.00;0.01;0.25;1.29;1.29;0.42;0.70;1.29;0.00;0.00;0.00;-0.29
439.00;-1.03;-0.41;0.91;1.05;0.00;0.00;0.00;0.50;0.00;-0.00;0.25;1.03;1.03;0.41;0.91;1.03;0.00;0.00;0.00;-0.50
440.00;-0.77;-0.30;1.36;0.79;0.00;0.00;0.00;1.06;0.00;-0.02;0.25;0.77;0.77;0.30;1.36;0.77;0.00;0.00;0.00;-1.06
