timeStep;demandHeat;demandElectricity;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;ElecBuy;ElecSell;ThermalStorage3SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusElecBuy;plusElecSell
587.00;-13.28;-4.51;0.00;19.09;0.00;5.42;0.00;4.51;0.00;2.67;0.56;0.25;13.28;13.28;4.51;0.00;18.71;0.00;4.88;0.00;4.51;-0.00
588.00;-14.98;-4.47;0.00;19.19;0.00;3.83;0.00;4.47;0.00;3.89;0.56;0.25;14.98;14.98;4.47;0.00;18.81;0.00;3.45;0.00;4.47;-0.00
589.00;-25.47;-4.95;0.00;20.00;5.87;0.00;0.00;4.95;0.00;4.75;0.60;0.25;25.47;25.47;4.95;0.00;19.60;5.28;0.00;0.00;4.95;-0.00
590.00;-23.38;-5.09;0.00;20.00;3.78;0.00;0.00;5.09;0.00;3.12;0.61;0.25;23.38;23.38;5.09;0.00;19.60;3.40;0.00;0.00;5.09;-0.00
591.00;-17.07;-4.65;0.00;19.24;0.00;1.78;0.00;4.65;0.00;2.07;0.58;0.25;17.07;17.07;4.65;0.00;18.85;0.00;1.60;0.00;4.65;-0.00
592.00;-16.11;-4.44;0.00;19.07;0.00;2.57;0.00;4.44;0.00;2.47;0.56;0.25;16.11;16.11;4.44;0.00;18.69;0.00;2.32;0.00;4.44;-0.00
593.00;-16.32;-4.44;0.00;19.03;0.00;2.34;0.00;4.44;0.00;3.05;0.56;0.25;16.32;16.32;4.44;0.00;18.65;0.00;2.10;0.00;4.44;-0.00
594.00;-14.72;-4.43;0.00;18.84;0.00;3.74;0.00;4.43;0.00;3.58;0.56;0.25;14.72;14.72;4.43;0.00;18.46;0.00;3.37;0.00;4.43;-0.00
595.00;-17.87;-4.43;0.00;19.36;0.00;1.10;0.00;4.43;0.00;4.42;0.56;0.25;17.87;17.87;4.43;0.00;18.97;0.00;0.99;0.00;4.43;-0.00
596.00;-22.91;-4.43;0.00;20.00;3.31;0.00;0.00;4.43;0.00;4.67;0.57;0.25;22.91;22.91;4.43;0.00;19.60;2.98;0.00;0.00;4.43;-0.00
597.00;-20.03;-4.56;0.00;20.00;0.43;0.00;0.00;4.56;0.00;3.75;0.58;0.25;20.03;20.03;4.56;0.00;19.60;0.38;0.00;0.00;4.56;-0.00
598.00;-22.15;-4.63;0.00;20.00;2.55;0.00;0.00;4.63;0.00;3.63;0.59;0.25;22.15;22.15;4.63;0.00;19.60;2.29;0.00;0.00;4.63;-0.00
599.00;-17.58;-4.49;0.00;19.22;0.00;1.26;0.00;4.49;0.00;2.92;0.56;0.25;17.58;17.58;4.49;0.00;18.84;0.00;1.13;0.00;4.49;-0.00
600.00;-11.23;-4.61;0.05;18.35;0.00;6.75;0.00;4.56;0.00;3.20;0.56;0.25;11.23;11.23;4.61;0.05;17.98;0.00;6.07;0.00;4.56;-0.00
601.00;-11.70;-5.35;0.21;18.21;0.00;6.15;0.00;5.14;0.00;4.72;0.59;0.25;11.70;11.70;5.35;0.21;17.85;0.00;5.53;0.00;5.14;-0.00
602.00;-20.82;-5.75;0.47;20.00;1.22;0.00;0.00;5.28;0.00;6.11;0.63;0.25;20.82;20.82;5.75;0.47;19.60;1.10;0.00;0.00;5.28;-0.00
603.00;-26.13;-5.72;0.75;20.00;6.53;0.00;0.00;4.97;0.00;5.77;0.61;0.25;26.13;26.13;5.72;0.75;19.60;5.87;0.00;0.00;4.97;-0.00
604.00;-23.29;-5.85;1.02;20.00;3.69;0.00;0.00;4.83;0.00;3.95;0.60;0.25;23.29;23.29;5.85;1.02;19.60;3.32;0.00;0.00;4.83;-0.00
605.00;-17.66;-5.60;1.38;19.43;0.00;1.38;0.00;4.22;0.00;2.93;0.55;0.25;17.66;17.66;5.60;1.38;19.05;0.00;1.25;0.00;4.22;-0.00
606.00;-10.31;-5.25;2.19;19.09;0.00;8.40;0.00;3.06;0.00;3.24;0.47;0.25;10.31;10.31;5.25;2.19;18.70;0.00;7.56;0.00;3.06;-0.00
607.00;-20.12;-4.83;2.37;20.00;0.52;0.00;0.00;2.46;0.00;5.13;0.45;0.25;20.12;20.12;4.83;2.37;19.60;0.46;0.00;0.00;2.46;-0.00
608.00;-23.28;-4.60;2.43;20.00;3.68;0.00;0.00;2.17;0.00;4.99;0.43;0.25;23.28;23.28;4.60;2.43;19.60;3.32;0.00;0.00;2.17;-0.00
609.00;-19.34;-5.02;2.01;19.86;0.00;0.12;0.00;3.00;0.00;3.96;0.48;0.25;19.34;19.34;5.02;2.01;19.46;0.00;0.11;0.00;3.00;-0.00
610.00;-22.82;-5.49;1.80;20.00;3.22;0.00;0.00;3.69;0.00;3.99;0.53;0.25;22.82;22.82;5.49;1.80;19.60;2.90;0.00;0.00;3.69;-0.00
611.00;-22.59;-5.92;1.45;20.00;2.99;0.00;0.00;4.47;0.00;3.10;0.58;0.25;22.59;22.59;5.92;1.45;19.60;2.69;0.00;0.00;4.47;-0.00
612.00;-16.78;-5.88;1.57;19.31;0.00;2.14;0.00;4.31;0.00;2.26;0.55;0.25;16.78;16.78;5.88;1.57;18.92;0.00;1.92;0.00;4.31;-0.00
613.00;-10.70;-5.68;2.00;19.02;0.00;7.94;0.00;3.67;0.00;2.75;0.51;0.25;10.70;10.70;5.68;2.00;18.64;0.00;7.15;0.00;3.67;-0.00
614.00;-17.72;-5.62;2.53;19.37;0.00;1.26;0.00;3.09;0.00;4.53;0.48;0.25;17.72;17.72;5.62;2.53;18.99;0.00;1.14;0.00;3.09;-0.00
615.00;-21.35;-5.39;2.81;20.00;1.75;0.00;0.00;2.58;0.00;4.82;0.46;0.25;21.35;21.35;5.39;2.81;19.60;1.57;0.00;0.00;2.58;-0.00
616.00;-9.68;-5.62;2.75;18.81;0.00;8.76;0.00;2.87;0.00;4.33;0.46;0.25;9.68;9.68;5.62;2.75;18.43;0.00;7.88;0.00;2.87;-0.00
617.00;-16.72;-5.76;2.89;19.15;0.00;2.04;0.00;2.87;0.00;6.30;0.46;0.25;16.72;16.72;5.76;2.89;18.77;0.00;1.84;0.00;2.87;-0.00
618.00;-25.16;-4.95;2.37;20.00;5.56;0.00;0.00;2.58;0.00;6.76;0.46;0.25;25.16;25.16;4.95;2.37;19.60;5.00;0.00;0.00;2.58;-0.00
