timeStep;demandHeat;demandElectricity;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;ThermalStorage5SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
106.00;-11.61;-2.25;0.00;0.19;0.00;19.03;0.00;3.08;1.47;0.23;0.25;11.61;11.61;2.25;0.00;0.18;0.00;11.42;0.00;-3.08
107.00;-8.36;-2.07;0.00;0.18;0.00;13.64;0.00;1.75;1.41;0.18;0.25;8.36;8.36;2.07;0.00;0.16;0.00;8.18;0.00;-1.75
108.00;-9.78;-2.07;0.00;0.17;0.00;16.01;0.00;2.42;1.36;0.20;0.25;9.78;9.78;2.07;0.00;0.16;0.00;9.60;0.00;-2.42
109.00;-15.46;-2.23;0.00;0.18;0.00;25.47;0.00;4.90;1.31;0.28;0.25;15.46;15.46;2.23;0.00;0.16;0.00;15.28;0.00;-4.90
110.00;-13.84;-2.28;0.00;0.16;0.00;22.80;0.00;4.10;1.26;0.26;0.25;13.84;13.84;2.28;0.00;0.14;0.00;13.68;0.00;-4.10
111.00;-10.09;-2.16;0.00;0.14;0.00;16.58;0.00;2.48;1.22;0.21;0.25;10.09;10.09;2.16;0.00;0.13;0.00;9.95;0.00;-2.48
112.00;-10.05;-2.10;0.00;0.15;0.00;16.51;0.00;2.52;1.18;0.20;0.25;10.05;10.05;2.10;0.00;0.13;0.00;9.90;0.00;-2.52
113.00;-10.52;-2.09;0.00;0.14;0.00;17.30;0.00;2.76;1.14;0.21;0.25;10.52;10.52;2.09;0.00;0.13;0.00;10.38;0.00;-2.76
114.00;-9.70;-2.11;0.00;0.14;0.00;15.94;0.00;2.36;1.10;0.20;0.25;9.70;9.70;2.11;0.00;0.12;0.00;9.57;0.00;-2.36
115.00;-11.82;-2.13;0.00;0.14;0.00;19.47;0.00;3.32;1.06;0.23;0.25;11.82;11.82;2.13;0.00;0.13;0.00;11.68;0.00;-3.32
116.00;-15.52;-2.10;0.00;0.15;0.00;25.63;0.00;5.07;1.02;0.28;0.25;15.52;15.52;2.10;0.00;0.13;0.00;15.38;0.00;-5.07
117.00;-13.98;-2.14;0.00;0.13;0.00;23.09;0.00;4.32;0.98;0.26;0.25;13.98;13.98;2.14;0.00;0.12;0.00;13.85;0.00;-4.32
118.00;-13.56;-2.22;0.00;0.13;0.00;22.37;0.00;4.04;0.95;0.26;0.25;13.56;13.56;2.22;0.00;0.12;0.00;13.42;0.00;-4.04
119.00;-10.40;-2.25;0.00;0.11;0.00;17.15;0.00;2.55;0.91;0.21;0.25;10.40;10.40;2.25;0.00;0.10;0.00;10.29;0.00;-2.55
120.00;-8.66;-2.37;0.02;0.09;0.00;14.24;0.00;1.62;0.88;0.19;0.25;8.66;8.66;2.37;0.02;0.09;0.00;8.54;0.00;-1.62
121.00;-12.41;-2.73;0.11;0.10;0.00;20.34;0.00;2.96;0.85;0.26;0.25;12.41;12.41;2.73;0.11;0.09;0.00;12.20;0.00;-2.96
122.00;-16.10;-2.99;0.24;0.13;0.00;26.23;0.00;4.35;0.82;0.31;0.25;16.10;16.10;2.99;0.24;0.12;0.00;15.74;0.00;-4.35
123.00;-16.15;-3.21;0.37;0.12;0.00;26.10;0.00;4.10;0.79;0.32;0.25;16.15;16.15;3.21;0.37;0.11;0.00;15.66;0.00;-4.10
124.00;-19.64;-3.63;0.51;0.11;0.00;31.70;0.00;5.25;0.75;0.38;0.25;19.64;19.64;3.63;0.51;0.10;0.00;19.02;0.00;-5.25
125.00;-19.02;-3.56;0.69;0.11;0.00;30.36;0.00;4.94;0.72;0.37;0.25;19.02;19.02;3.56;0.69;0.10;0.00;18.21;0.00;-4.94
126.00;-9.98;-3.19;1.09;0.10;0.00;14.64;0.00;0.91;0.69;0.22;0.25;9.98;9.98;3.19;1.09;0.09;0.00;8.79;0.00;-0.91
127.00;-15.33;-2.91;1.18;0.12;0.00;23.38;0.00;3.63;0.66;0.29;0.25;15.33;15.33;2.91;1.18;0.10;0.00;14.03;0.00;-3.63
128.00;-18.71;-2.81;1.21;0.11;0.00;28.97;0.00;5.30;0.63;0.33;0.25;18.71;18.71;2.81;1.21;0.10;0.00;17.38;0.00;-5.30
129.00;-14.28;-3.08;1.01;0.10;0.00;21.95;0.00;3.07;0.60;0.28;0.25;14.28;14.28;3.08;1.01;0.09;0.00;13.17;0.00;-3.07
130.00;-15.28;-3.49;0.90;0.12;0.00;23.76;0.00;3.16;0.57;0.31;0.25;15.28;15.28;3.49;0.90;0.11;0.00;14.26;0.00;-3.16
131.00;-15.05;-3.66;0.73;0.12;0.00;23.66;0.00;2.97;0.54;0.31;0.25;15.05;15.05;3.66;0.73;0.11;0.00;14.20;0.00;-2.97
132.00;-11.13;-3.78;0.78;0.10;0.00;17.08;0.00;1.01;0.50;0.26;0.25;11.13;11.13;3.78;0.78;0.09;0.00;10.25;0.00;-1.01
133.00;-7.89;-3.67;1.00;0.00;0.98;13.12;0.00;0.00;0.48;0.22;0.25;7.89;7.89;3.67;1.00;0.00;0.88;7.87;0.00;-0.00
134.00;-12.49;-3.47;1.27;0.10;0.00;18.54;0.00;1.73;0.70;0.26;0.25;12.49;12.49;3.47;1.27;0.09;0.00;11.12;0.00;-1.73
135.00;-14.59;-3.67;1.40;0.11;0.00;21.81;0.00;2.44;0.67;0.30;0.25;14.59;14.59;3.67;1.40;0.10;0.00;13.08;0.00;-2.44
136.00;-8.66;-3.55;1.37;0.00;0.32;12.68;0.00;0.00;0.64;0.22;0.25;8.66;8.66;3.55;1.37;0.00;0.29;7.61;0.00;-0.00
137.00;-12.06;-3.64;1.44;0.11;0.00;17.50;0.00;1.26;0.71;0.26;0.25;12.06;12.06;3.64;1.44;0.10;0.00;10.50;0.00;-1.26
138.00;-15.83;-3.17;1.18;0.14;0.00;24.18;0.00;3.60;0.68;0.30;0.25;15.83;15.83;3.17;1.18;0.13;0.00;14.51;0.00;-3.60
139.00;-14.42;-2.72;1.23;0.15;0.00;21.72;0.00;3.37;0.64;0.27;0.25;14.42;14.42;2.72;1.23;0.14;0.00;13.03;0.00;-3.37
140.00;-10.75;-3.25;1.16;0.15;0.00;15.73;0.00;1.16;0.60;0.23;0.25;10.75;10.75;3.25;1.16;0.13;0.00;9.44;0.00;-1.16
141.00;-9.69;-3.93;1.50;0.00;0.23;14.05;0.00;0.00;0.56;0.24;0.25;9.69;9.69;3.93;1.50;0.00;0.21;8.43;0.00;-0.00
142.00;-13.92;-4.58;2.23;0.12;0.00;19.28;0.00;0.82;0.61;0.30;0.25;13.92;13.92;4.58;2.23;0.11;0.00;11.57;0.00;-0.82
143.00;-13.20;-4.00;2.17;0.16;0.00;18.10;0.00;1.07;0.57;0.28;0.25;13.20;13.20;4.00;2.17;0.14;0.00;10.86;0.00;-1.07
144.00;-11.26;-3.31;2.71;0.17;0.00;13.97;0.00;0.60;0.53;0.22;0.25;11.26;11.26;3.31;2.71;0.15;0.00;8.38;0.00;-0.60
145.00;-17.59;-3.28;2.25;0.29;0.00;25.08;0.00;3.75;0.48;0.31;0.25;17.59;17.59;3.28;2.25;0.26;0.00;15.05;0.00;-3.75
146.00;-20.91;-3.71;2.05;0.41;0.00;30.75;0.00;4.90;0.40;0.37;0.25;20.91;20.91;3.71;2.05;0.37;0.00;18.45;0.00;-4.90
147.00;-12.51;-4.29;2.04;0.29;0.00;16.96;0.00;0.46;0.29;0.28;0.25;12.51;12.51;4.29;2.04;0.26;0.00;10.18;0.00;-0.46
148.00;-8.00;-4.51;2.92;0.00;4.58;16.10;0.00;0.00;0.21;0.28;0.25;8.00;8.00;4.51;2.92;0.00;4.12;9.66;0.00;-0.00
149.00;-8.60;-4.19;2.93;0.00;3.32;14.98;0.00;0.00;1.24;0.26;0.25;8.60;8.60;4.19;2.93;0.00;2.99;8.99;0.00;-0.00
150.00;-8.77;-4.25;2.81;0.00;3.16;15.19;0.00;0.00;1.99;0.26;0.25;8.77;8.77;4.25;2.81;0.00;2.84;9.11;0.00;-0.00
151.00;-15.55;-4.73;3.65;0.90;0.00;18.33;0.00;0.40;2.70;0.30;0.25;15.55;15.55;4.73;3.65;0.81;0.00;11.00;0.00;-0.40
