timeStep;demandHeat;demandElectricity;PV2;GasBoiler2;Battery2Discharge;Battery2Charge;ElecBuy;ElecSell;Battery2SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV2;plusGasBoiler2;plusBattery2Discharge;plusBattery2Charge;plusElecBuy;plusElecSell
372.00;-1.03;-1.17;0.00;1.05;0.08;0.00;1.09;0.00;0.51;0.08;0.25;1.03;1.03;1.17;0.00;1.03;0.08;0.00;1.09;-0.00
373.00;-0.77;-1.30;0.00;0.79;0.08;0.00;1.22;0.00;0.49;0.09;0.25;0.77;0.77;1.30;0.00;0.77;0.08;0.00;1.22;-0.00
374.00;-0.26;-1.28;0.00;0.26;0.08;0.00;1.21;0.00;0.47;0.08;0.25;0.26;0.26;1.28;0.00;0.26;0.07;0.00;1.21;-0.00
375.00;-1.29;-1.22;0.00;1.32;0.08;0.00;1.14;0.00;0.45;0.09;0.25;1.29;1.29;1.22;0.00;1.29;0.08;0.00;1.14;-0.00
376.00;-1.03;-3.06;0.00;1.05;0.08;0.00;2.98;0.00;0.43;0.20;0.25;1.03;1.03;3.06;0.00;1.03;0.08;0.00;2.98;-0.00
377.00;-1.29;-1.59;0.00;1.32;0.07;0.00;1.51;0.00;0.41;0.11;0.25;1.29;1.29;1.59;0.00;1.29;0.07;0.00;1.51;-0.00
378.00;-0.77;-1.88;0.00;0.79;0.07;0.00;1.81;0.00;0.39;0.12;0.25;0.77;0.77;1.88;0.00;0.77;0.07;0.00;1.81;-0.00
379.00;-3.09;-1.32;0.00;3.16;0.06;0.00;1.26;0.00;0.37;0.13;0.25;3.09;3.09;1.32;0.00;3.09;0.06;0.00;1.26;-0.00
380.00;0.00;-0.57;0.00;0.00;0.04;0.00;0.53;0.00;0.36;0.03;0.25;-0.00;0.00;0.57;0.00;0.00;0.04;0.00;0.53;-0.00
381.00;0.00;-0.42;0.00;0.00;0.03;0.00;0.39;0.00;0.35;0.02;0.25;-0.00;0.00;0.42;0.00;0.00;0.03;0.00;0.39;-0.00
382.00;0.00;-0.41;0.00;0.00;0.03;0.00;0.38;0.00;0.34;0.02;0.25;-0.00;0.00;0.41;0.00;0.00;0.03;0.00;0.38;-0.00
383.00;-0.26;-0.68;0.00;0.26;0.04;0.00;0.64;0.00;0.33;0.04;0.25;0.26;0.26;0.68;0.00;0.26;0.04;0.00;0.64;-0.00
384.00;-0.52;-0.56;0.00;0.53;0.04;0.00;0.52;0.00;0.32;0.04;0.25;0.52;0.52;0.56;0.00;0.52;0.04;0.00;0.52;-0.00
385.00;-1.29;-0.38;0.00;1.32;0.03;0.00;0.35;0.00;0.31;0.04;0.25;1.29;1.29;0.38;0.00;1.29;0.03;0.00;0.35;-0.00
386.00;-0.77;-0.37;0.00;0.79;0.03;0.00;0.34;0.00;0.30;0.03;0.25;0.77;0.77;0.37;0.00;0.77;0.03;0.00;0.34;-0.00
387.00;-0.52;-0.38;0.00;0.53;0.03;0.00;0.35;0.00;0.29;0.03;0.25;0.52;0.52;0.38;0.00;0.52;0.03;0.00;0.35;-0.00
388.00;-1.03;-0.39;0.00;1.05;0.03;0.00;0.36;0.00;0.28;0.04;0.25;1.03;1.03;0.39;0.00;1.03;0.03;0.00;0.36;-0.00
389.00;-1.03;-0.41;0.00;1.05;0.03;0.00;0.37;0.00;0.28;0.04;0.25;1.03;1.03;0.41;0.00;1.03;0.03;0.00;0.37;-0.00
390.00;-0.77;-0.38;0.00;0.79;0.03;0.00;0.35;0.00;0.27;0.03;0.25;0.77;0.77;0.38;0.00;0.77;0.03;0.00;0.35;-0.00
391.00;-0.77;-0.40;0.00;0.79;0.03;0.00;0.37;0.00;0.26;0.04;0.25;0.77;0.77;0.40;0.00;0.77;0.02;0.00;0.37;-0.00
392.00;-1.29;-0.37;0.00;1.32;0.03;0.00;0.34;0.00;0.26;0.04;0.25;1.29;1.29;0.37;0.00;1.29;0.03;0.00;0.34;-0.00
393.00;-0.52;-0.37;0.00;0.53;0.03;0.00;0.34;0.00;0.25;0.03;0.25;0.52;0.52;0.37;0.00;0.52;0.03;0.00;0.34;-0.00
394.00;-1.03;-0.40;0.00;1.05;0.02;0.00;0.38;0.00;0.24;0.04;0.25;1.03;1.03;0.40;0.00;1.03;0.02;0.00;0.38;-0.00
395.00;-1.03;-0.37;0.00;1.05;0.02;0.00;0.35;0.00;0.24;0.04;0.25;1.03;1.03;0.37;0.00;1.03;0.02;0.00;0.35;-0.00
396.00;-0.77;-0.37;0.00;0.79;0.02;0.00;0.35;0.00;0.23;0.03;0.25;0.77;0.77;0.37;0.00;0.77;0.02;0.00;0.35;-0.00
397.00;-1.03;-0.39;0.00;1.05;0.02;0.00;0.37;0.00;0.22;0.04;0.25;1.03;1.03;0.39;0.00;1.03;0.02;0.00;0.37;-0.00
398.00;-1.03;-0.38;0.00;1.05;0.02;0.00;0.35;0.00;0.22;0.04;0.25;1.03;1.03;0.38;0.00;1.03;0.02;0.00;0.35;-0.00
399.00;-1.29;-0.38;0.00;1.32;0.02;0.00;0.35;0.00;0.21;0.04;0.25;1.29;1.29;0.38;0.00;1.29;0.02;0.00;0.35;-0.00
400.00;-0.26;-0.38;0.00;0.26;0.02;0.00;0.35;0.00;0.21;0.03;0.25;0.26;0.26;0.38;0.00;0.26;0.02;0.00;0.35;-0.00
401.00;-1.55;-0.40;0.00;1.58;0.03;0.00;0.37;0.00;0.20;0.05;0.25;1.55;1.55;0.40;0.00;1.55;0.03;0.00;0.37;-0.00
402.00;-1.55;-0.38;0.00;1.58;0.02;0.00;0.36;0.00;0.19;0.05;0.25;1.55;1.55;0.38;0.00;1.55;0.02;0.00;0.36;-0.00
403.00;-1.03;-0.38;0.00;1.05;0.02;0.00;0.35;0.00;0.19;0.04;0.25;1.03;1.03;0.38;0.00;1.03;0.02;0.00;0.35;-0.00
404.00;-3.61;-0.50;0.00;3.68;0.03;0.00;0.48;0.00;0.18;0.08;0.25;3.61;3.61;0.50;0.00;3.61;0.03;0.00;0.48;-0.00
405.00;-4.12;-1.67;0.00;4.21;0.04;0.00;1.63;0.00;0.17;0.16;0.25;4.12;4.12;1.67;0.00;4.12;0.04;0.00;1.63;-0.00
406.00;-0.26;-0.73;0.00;0.26;0.04;0.00;0.69;0.00;0.16;0.05;0.25;0.26;0.26;0.73;0.00;0.26;0.04;0.00;0.69;-0.00
407.00;-2.32;-0.73;0.00;2.37;0.04;0.00;0.69;0.00;0.15;0.08;0.25;2.32;2.32;0.73;0.00;2.32;0.03;0.00;0.69;-0.00
408.00;-1.80;-0.82;0.01;1.84;0.02;0.00;0.79;0.00;0.14;0.08;0.25;1.80;1.80;0.82;0.01;1.80;0.02;0.00;0.79;-0.00
409.00;-0.52;-0.39;0.03;0.53;0.02;0.00;0.34;0.00;0.14;0.03;0.25;0.52;0.52;0.39;0.03;0.52;0.02;0.00;0.34;-0.00
410.00;-1.03;-0.38;0.06;1.05;0.02;0.00;0.30;0.00;0.13;0.03;0.25;1.03;1.03;0.38;0.06;1.03;0.02;0.00;0.30;-0.00
411.00;-1.81;-0.21;0.09;1.84;0.01;0.00;0.11;0.00;0.13;0.03;0.25;1.81;1.81;0.21;0.09;1.81;0.01;0.00;0.11;-0.00
412.00;-1.29;-0.28;0.13;1.32;0.01;0.00;0.14;0.00;0.12;0.03;0.25;1.29;1.29;0.28;0.13;1.29;0.01;0.00;0.14;-0.00
413.00;-0.52;-0.54;0.17;0.53;0.02;0.00;0.35;0.00;0.12;0.03;0.25;0.52;0.52;0.54;0.17;0.52;0.02;0.00;0.35;-0.00
414.00;-1.29;-0.35;0.27;1.32;0.01;0.00;0.07;0.00;0.12;0.02;0.25;1.29;1.29;0.35;0.27;1.29;0.01;0.00;0.07;-0.00
415.00;-1.03;-0.32;0.30;1.05;0.01;0.00;0.02;0.00;0.11;0.02;0.25;1.03;1.03;0.32;0.30;1.03;0.01;0.00;0.02;-0.00
