timeStep;demandHeat;demandElectricity;ThermalStorage4Discharge;ThermalStorage4Charge;CHP4;ElecBuy;ElecSell;ThermalStorage4SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusThermalStorage4Discharge;plusThermalStorage4Charge;plusCHP4;plusElecBuy;plusElecSell
92.00;-10.04;-5.08;0.00;0.64;17.52;0.00;0.00;16.20;0.30;0.88;0.30;10.04;10.04;5.08;0.00;0.58;10.68;0.00;-0.00
93.00;-8.12;-5.15;0.00;2.71;17.75;0.00;0.00;16.34;0.30;0.90;0.24;8.12;8.12;5.15;0.00;2.43;10.82;0.00;-0.00
94.00;-8.62;-4.79;8.62;0.00;0.00;4.79;0.00;16.95;0.21;0.57;0.18;8.62;8.62;4.79;7.76;0.00;0.00;4.79;-0.00
95.00;-8.47;-3.99;8.48;0.00;0.00;3.99;0.00;14.56;0.11;0.47;0.11;8.47;8.47;3.99;7.63;0.00;0.00;3.99;-0.00
96.00;-9.48;-2.93;9.48;0.00;0.00;2.93;0.00;12.20;0.04;0.35;0.05;9.48;9.48;2.93;8.53;0.00;0.00;2.93;-0.00
97.00;-8.02;-2.88;8.02;0.00;0.00;2.88;0.00;9.57;0.04;0.34;0.05;8.02;8.02;2.88;7.22;0.00;0.00;2.88;-0.00
98.00;-5.46;-2.88;5.46;0.00;0.00;2.88;0.00;7.34;0.04;0.34;0.05;5.46;5.46;2.88;4.91;0.00;0.00;2.88;-0.00
99.00;-4.29;-3.51;3.49;0.00;1.31;3.13;0.00;5.83;0.06;0.44;0.05;4.29;4.29;3.51;3.15;0.00;0.80;3.13;-0.00
100.00;-9.31;-4.10;7.81;0.00;2.44;3.39;0.00;4.86;0.08;0.53;0.05;9.31;9.31;4.10;7.03;0.00;1.49;3.39;-0.00
101.00;-7.34;-3.91;4.45;0.00;4.73;2.54;0.00;2.69;0.11;0.54;0.05;7.34;7.34;3.91;4.01;0.00;2.89;2.54;-0.00
102.00;-3.26;-3.46;0.88;0.00;3.89;2.33;0.00;1.45;0.10;0.47;0.05;3.26;3.26;3.46;0.79;0.00;2.37;2.33;-0.00
103.00;-1.75;-3.10;0.37;0.00;2.26;2.44;0.00;1.20;0.07;0.40;0.05;1.75;1.75;3.10;0.33;0.00;1.38;2.44;-0.00
104.00;-3.25;-3.12;0.43;0.00;4.63;1.77;0.00;1.10;0.10;0.44;0.05;3.25;3.25;3.12;0.39;0.00;2.82;1.77;-0.00
105.00;-3.70;-3.06;0.21;0.00;5.73;1.40;0.00;0.98;0.12;0.45;0.05;3.70;3.70;3.06;0.18;0.00;3.49;1.40;-0.00
106.00;-3.24;-2.55;0.00;0.00;5.31;1.00;0.00;0.92;0.10;0.39;0.05;3.24;3.24;2.55;0.00;0.00;3.24;1.00;-0.00
107.00;-4.83;-2.25;0.05;0.00;7.83;0.00;0.02;0.92;0.13;0.40;0.05;4.83;4.83;2.25;0.05;0.00;4.78;0.00;-0.02
108.00;-6.86;-2.30;1.50;0.00;8.78;0.00;0.24;0.91;0.15;0.44;0.05;6.86;6.86;2.30;1.35;0.00;5.35;0.00;-0.24
109.00;-6.99;-2.34;1.46;0.00;9.07;0.00;0.29;0.49;0.15;0.46;0.05;6.99;6.99;2.34;1.31;0.00;5.53;0.00;-0.29
110.00;-5.01;-2.34;0.02;0.00;8.17;0.00;0.03;0.09;0.14;0.41;0.05;5.01;5.01;2.34;0.02;0.00;4.98;0.00;-0.03
111.00;-3.59;-2.44;0.00;0.00;5.88;0.73;0.00;0.08;0.11;0.38;0.05;3.59;3.59;2.44;0.00;0.00;3.59;0.73;-0.00
112.00;-5.51;-2.47;0.03;0.00;8.99;0.00;0.13;0.08;0.15;0.45;0.05;5.51;5.51;2.47;0.02;0.00;5.49;0.00;-0.13
113.00;-6.95;-2.43;0.03;0.00;11.34;0.00;0.86;0.07;0.19;0.57;0.05;6.95;6.95;2.43;0.02;0.00;6.92;0.00;-0.86
114.00;-7.10;-2.53;0.03;0.00;11.59;0.00;0.83;0.07;0.19;0.59;0.05;7.10;7.10;2.53;0.02;0.00;7.07;0.00;-0.83
115.00;-8.80;-2.61;0.02;0.00;14.38;0.00;1.56;0.06;0.24;0.73;0.05;8.80;8.80;2.61;0.02;0.00;8.77;0.00;-1.56
116.00;-12.73;-2.51;0.03;0.00;20.83;0.00;3.53;0.05;0.33;1.05;0.05;12.73;12.73;2.51;0.03;0.00;12.71;0.00;-3.53
117.00;-12.78;-2.48;0.02;0.00;20.92;0.00;3.59;0.04;0.34;1.06;0.05;12.78;12.78;2.48;0.02;0.00;12.76;0.00;-3.59
118.00;-6.53;-2.72;0.02;0.00;10.68;0.00;0.38;0.04;0.18;0.54;0.05;6.53;6.53;2.72;0.02;0.00;6.51;0.00;-0.38
119.00;-3.75;-3.03;0.00;0.00;6.14;1.25;0.00;0.03;0.12;0.46;0.05;3.75;3.75;3.03;0.00;0.00;3.75;1.25;-0.00
120.00;-10.45;-3.34;0.02;0.00;17.10;0.00;1.62;0.03;0.28;0.86;0.05;10.45;10.45;3.34;0.02;0.00;10.43;0.00;-1.62
121.00;-24.44;-3.80;0.02;0.00;40.05;0.00;7.81;0.03;0.64;2.02;0.05;24.44;24.44;3.80;0.01;0.00;24.43;0.00;-7.81
122.00;-19.56;-4.30;0.01;0.00;32.04;0.00;4.99;0.02;0.52;1.62;0.05;19.56;19.56;4.30;0.01;0.00;19.54;0.00;-4.99
123.00;-8.34;-5.23;0.00;0.00;13.68;1.26;0.00;0.02;0.25;0.84;0.05;8.34;8.34;5.23;0.00;0.00;8.34;1.26;-0.00
124.00;-28.38;-6.72;0.01;0.00;46.51;0.00;6.77;0.02;0.75;2.35;0.05;28.38;28.38;6.72;0.01;0.00;28.37;0.00;-6.77
125.00;-38.03;-6.75;0.01;0.00;62.34;0.00;11.33;0.02;1.00;3.15;0.05;38.03;38.03;6.75;0.01;0.00;38.03;0.00;-11.33
126.00;-17.71;-5.74;0.01;0.00;29.02;0.00;2.68;0.01;0.48;1.47;0.05;17.71;17.71;5.74;0.01;0.00;17.70;0.00;-2.68
127.00;-17.99;-5.21;0.01;0.00;29.48;0.00;3.33;0.01;0.48;1.49;0.05;17.99;17.99;5.21;0.01;0.00;17.98;0.00;-3.33
128.00;-24.68;-5.09;0.01;0.00;40.43;0.00;6.63;0.01;0.65;2.04;0.05;24.68;24.68;5.09;0.01;0.00;24.66;0.00;-6.63
129.00;-15.47;-5.62;0.03;0.00;25.32;0.00;1.73;0.01;0.42;1.28;0.05;15.47;15.47;5.62;0.02;0.00;15.44;0.00;-1.73
130.00;-11.97;-6.66;0.00;0.00;19.63;0.96;0.00;0.00;0.35;1.11;0.05;11.97;11.97;6.66;0.00;0.00;11.97;0.96;-0.00
131.00;-11.52;-6.73;0.00;0.00;18.88;1.26;0.00;0.00;0.34;1.10;0.05;11.52;11.52;6.73;0.00;0.00;11.52;1.26;-0.00
132.00;-8.39;-7.27;0.00;0.00;13.75;3.29;0.00;0.00;0.28;1.08;0.05;8.39;8.39;7.27;0.00;0.00;8.39;3.29;-0.00
133.00;-8.52;-7.12;0.00;0.00;13.97;3.07;0.00;0.00;0.28;1.07;0.05;8.52;8.52;7.12;0.00;0.00;8.52;3.07;-0.00
134.00;-11.80;-6.36;0.00;0.00;19.35;0.75;0.00;0.00;0.34;1.07;0.05;11.80;11.80;6.36;0.00;0.00;11.80;0.75;-0.00
135.00;-12.39;-7.50;0.00;0.00;20.32;1.61;0.00;0.00;0.37;1.22;0.05;12.39;12.39;7.50;0.00;0.00;12.39;1.61;-0.00
136.00;-13.79;-6.71;0.00;0.00;22.60;0.16;0.00;0.00;0.39;1.16;0.05;13.79;13.79;6.71;0.00;0.00;13.79;0.16;-0.00
137.00;-12.20;-6.90;0.00;0.00;20.00;1.10;0.00;0.00;0.36;1.14;0.05;12.20;12.20;6.90;0.00;0.00;12.20;1.10;-0.00
