timeStep;demandHeat;demandElectricity;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;ThermalStorage5SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
63.00;-19.14;-3.65;11.32;0.00;0.00;13.05;0.00;0.00;0.00;0.22;0.66;0.30;19.14;19.14;3.65;11.32;0.00;0.00;7.83;0.00;-0.00
64.00;-12.27;-3.12;5.59;0.00;0.00;11.13;0.00;0.00;0.00;0.19;0.56;0.30;12.27;12.27;3.12;5.59;0.00;0.00;6.68;0.00;-0.00
65.00;-10.71;-3.88;2.40;0.00;0.00;13.85;0.00;0.00;0.00;0.24;0.70;0.30;10.71;10.71;3.88;2.40;0.00;0.00;8.31;0.00;-0.00
66.00;-11.60;-4.03;3.89;0.00;0.94;14.41;0.00;0.00;0.00;0.25;0.73;0.30;11.60;11.60;4.03;3.89;0.00;0.84;8.64;0.00;-0.00
67.00;-9.72;-3.72;2.99;0.00;1.24;13.29;0.00;0.00;0.21;0.23;0.67;0.30;9.72;9.72;3.72;2.99;0.00;1.12;7.97;0.00;-0.00
68.00;-10.26;-4.27;2.11;0.00;1.02;15.26;0.00;0.00;0.49;0.26;0.77;0.30;10.26;10.26;4.27;2.11;0.00;0.91;9.16;0.00;-0.00
69.00;-15.64;-4.57;1.36;0.44;0.00;23.07;0.00;1.89;0.72;0.32;1.17;0.30;15.64;15.64;4.57;1.36;0.39;0.00;13.84;0.00;-1.89
70.00;-18.50;-4.21;0.42;0.51;0.00;29.28;0.00;3.99;0.60;0.35;1.48;0.30;18.50;18.50;4.21;0.42;0.46;0.00;17.57;0.00;-3.99
71.00;-12.83;-3.85;0.95;0.19;0.00;19.47;0.00;1.61;0.46;0.27;0.98;0.30;12.83;12.83;3.85;0.95;0.17;0.00;11.68;0.00;-1.61
72.00;-10.58;-4.23;0.96;0.09;0.00;15.89;0.00;0.22;0.40;0.26;0.80;0.30;10.58;10.58;4.23;0.96;0.08;0.00;9.53;0.00;-0.22
