timeStep;demandHeat;demandElectricity;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;ElecBuy;ElecSell;ThermalStorage3SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusElecBuy;plusElecSell
50.00;-35.14;-5.42;4.10;20.00;15.54;0.00;0.00;1.32;0.00;4.32;0.39;1.17;0.30;35.14;35.14;5.42;4.10;19.60;13.99;0.00;0.00;1.32;-0.00
51.00;-19.21;-6.23;4.09;19.60;0.00;0.00;0.00;2.15;0.00;0.00;0.45;1.24;0.30;19.21;19.21;6.23;4.09;19.21;0.00;0.00;0.00;2.15;-0.00
52.00;-10.56;-6.99;5.84;14.40;0.00;3.55;0.00;1.15;0.00;0.00;0.30;0.86;0.30;10.56;10.56;6.99;5.84;14.11;0.00;3.19;0.00;1.15;-0.00
53.00;-11.72;-7.63;5.87;19.06;0.00;6.96;0.00;1.76;0.00;0.80;0.41;1.17;0.30;11.72;11.72;7.63;5.87;18.68;0.00;6.26;0.00;1.76;-0.00
54.00;-11.85;-8.91;5.63;18.92;0.00;6.69;0.00;3.28;0.00;2.36;0.53;1.34;0.30;11.85;11.85;8.91;5.63;18.54;0.00;6.02;0.00;3.28;-0.00
55.00;-24.72;-10.62;7.30;20.00;5.12;0.00;0.00;3.33;0.00;3.87;0.55;1.40;0.30;24.72;24.72;10.62;7.30;19.60;4.60;0.00;0.00;3.33;-0.00
56.00;-30.64;-9.98;10.87;20.00;8.81;0.00;0.89;0.00;0.00;2.45;0.30;1.01;0.30;30.64;30.64;9.98;10.87;19.60;7.93;0.00;2.23;0.00;-0.00
57.00;-20.46;-7.76;11.42;11.54;0.00;0.00;3.66;0.00;0.00;0.00;0.17;0.58;0.30;20.46;20.46;7.76;11.42;11.31;0.00;0.00;9.14;0.00;-0.00
58.00;-14.90;-7.33;13.30;0.00;0.00;0.00;5.96;0.00;0.02;0.00;-0.00;0.00;0.30;14.90;14.90;7.33;13.30;0.00;0.00;0.00;14.90;0.00;-0.02
59.00;-12.87;-7.18;15.93;0.00;0.00;0.00;5.15;0.00;3.60;0.00;-0.14;0.00;0.30;12.87;12.87;7.18;15.93;0.00;0.00;0.00;12.87;0.00;-3.60
60.00;-10.91;-5.42;17.30;0.00;0.00;0.00;4.36;0.00;7.52;0.00;-0.28;0.00;0.30;10.91;10.91;5.42;17.30;0.00;0.00;0.00;10.91;0.00;-7.52
61.00;-11.55;-5.84;18.11;0.00;0.00;0.00;4.62;0.00;7.66;0.00;-0.29;0.00;0.30;11.55;11.55;5.84;18.11;0.00;0.00;0.00;11.54;0.00;-7.66
62.00;-23.82;-8.51;16.12;4.90;0.00;0.00;7.61;0.00;0.00;0.00;0.07;0.25;0.30;23.82;23.82;8.51;16.12;4.81;0.00;0.00;19.01;0.00;-0.00
63.00;-27.12;-8.33;26.43;2.16;0.00;0.00;10.00;0.00;8.11;0.00;-0.27;0.11;0.30;27.12;27.12;8.33;26.43;2.12;0.00;0.00;25.00;0.00;-8.11
64.00;-17.27;-6.04;21.35;0.00;0.00;0.00;6.91;0.00;8.41;0.00;-0.32;0.00;0.30;17.27;17.27;6.04;21.35;0.00;0.00;0.00;17.27;0.00;-8.41
65.00;-12.23;-7.16;12.88;0.00;0.00;0.00;4.89;0.00;0.83;0.00;-0.03;0.00;0.30;12.23;12.23;7.16;12.88;0.00;0.00;0.00;12.23;0.00;-0.83
66.00;-12.78;-7.29;7.79;11.78;0.00;0.00;0.49;0.00;0.00;0.00;0.17;0.60;0.30;12.78;12.78;7.29;7.79;11.55;0.00;0.00;1.23;0.00;-0.00
67.00;-12.77;-5.29;5.99;16.53;0.00;5.17;0.70;0.00;0.00;0.00;0.24;0.83;0.30;12.77;12.77;5.29;5.99;16.20;0.00;4.65;1.74;0.00;-0.00
68.00;-11.18;-5.02;4.22;15.57;0.00;4.07;0.00;0.80;0.00;1.16;0.29;0.88;0.30;11.18;11.18;5.02;4.22;15.26;0.00;3.67;0.00;0.80;-0.00
69.00;-18.62;-5.25;2.71;19.46;0.00;0.46;0.00;2.54;0.00;2.08;0.48;1.28;0.30;18.62;18.62;5.25;2.71;19.07;0.00;0.41;0.00;2.54;-0.00
70.00;-27.14;-5.67;0.84;20.00;7.54;0.00;0.00;4.83;0.00;2.18;0.66;1.58;0.30;27.14;27.14;5.67;0.84;19.60;6.79;0.00;0.00;4.83;-0.00
71.00;-19.91;-6.05;1.91;20.00;0.31;0.00;0.00;4.14;0.00;0.09;0.61;1.50;0.30;19.91;19.91;6.05;1.91;19.60;0.28;0.00;0.00;4.14;-0.00
72.00;-15.12;-6.77;1.93;20.00;0.00;4.48;0.00;4.84;0.00;0.00;0.66;1.58;0.30;15.12;15.12;6.77;1.93;19.60;0.00;4.04;0.00;4.84;-0.00
73.00;-14.23;-5.83;2.20;20.00;0.00;5.37;0.00;3.64;0.00;1.01;0.57;1.44;0.30;14.23;14.23;5.83;2.20;19.60;0.00;4.83;0.00;3.64;-0.00
74.00;-19.32;-6.14;2.78;20.00;0.00;0.28;0.00;3.37;0.00;2.22;0.55;1.41;0.30;19.32;19.32;6.14;2.78;19.60;0.00;0.25;0.00;3.37;-0.00
