timeStep;demandHeat;demandElectricity;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;ThermalStorage5SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
133.00;-7.89;-3.67;1.00;0.00;0.98;13.12;0.00;0.00;0.00;0.22;0.25;7.89;7.89;3.67;1.00;0.00;0.88;7.87;0.00;-0.00
134.00;-12.49;-3.47;1.27;0.11;0.00;18.53;0.00;1.72;0.22;0.26;0.25;12.49;12.49;3.47;1.27;0.10;0.00;11.12;0.00;-1.72
135.00;-14.59;-3.67;1.40;0.11;0.00;21.80;0.00;2.43;0.19;0.30;0.25;14.59;14.59;3.67;1.40;0.10;0.00;13.08;0.00;-2.43
136.00;-8.66;-3.55;1.37;0.00;0.32;12.68;0.00;0.00;0.16;0.22;0.25;8.66;8.66;3.55;1.37;0.00;0.29;7.61;0.00;-0.00
137.00;-12.06;-3.64;1.44;0.08;0.00;17.55;0.00;1.27;0.23;0.26;0.25;12.06;12.06;3.64;1.44;0.07;0.00;10.53;0.00;-1.27
138.00;-15.83;-3.17;1.18;0.11;0.00;24.23;0.00;3.61;0.21;0.30;0.25;15.83;15.83;3.17;1.18;0.10;0.00;14.54;0.00;-3.61
139.00;-14.42;-2.72;1.23;0.08;0.00;21.84;0.00;3.40;0.18;0.27;0.25;14.42;14.42;2.72;1.23;0.08;0.00;13.10;0.00;-3.40
140.00;-10.75;-3.25;1.16;0.08;0.00;15.85;0.00;1.19;0.16;0.23;0.25;10.75;10.75;3.25;1.16;0.07;0.00;9.51;0.00;-1.19
141.00;-9.69;-3.93;1.50;0.00;0.23;14.05;0.00;0.00;0.13;0.24;0.25;9.69;9.69;3.93;1.50;0.00;0.21;8.43;0.00;-0.00
142.00;-13.92;-4.58;2.23;0.07;0.00;19.36;0.00;0.84;0.19;0.31;0.25;13.92;13.92;4.58;2.23;0.06;0.00;11.62;0.00;-0.84
143.00;-13.20;-4.00;2.17;0.07;0.00;18.25;0.00;1.11;0.17;0.28;0.25;13.20;13.20;4.00;2.17;0.06;0.00;10.95;0.00;-1.11
144.00;-11.26;-3.31;2.71;0.05;0.00;14.17;0.00;0.65;0.15;0.22;0.25;11.26;11.26;3.31;2.71;0.04;0.00;8.50;0.00;-0.65
145.00;-17.59;-3.28;2.25;0.09;0.00;25.42;0.00;3.84;0.13;0.32;0.25;17.59;17.59;3.28;2.25;0.08;0.00;15.25;0.00;-3.84
146.00;-20.91;-3.71;2.05;0.13;0.00;31.21;0.00;5.03;0.11;0.38;0.25;20.91;20.91;3.71;2.05;0.12;0.00;18.72;0.00;-5.03
147.00;-12.51;-4.29;2.04;0.26;0.00;17.02;0.00;0.47;0.07;0.28;0.25;12.51;12.51;4.29;2.04;0.23;0.00;10.21;0.00;-0.47
148.00;-8.00;-4.51;0.00;0.00;1.66;16.10;0.00;0.00;0.00;0.28;0.25;8.00;8.00;4.51;0.00;0.00;1.50;9.66;0.00;-0.00
